Year,Halving Date,Halving period,Block Height,Block Subsidy,,,,
2009,,0,0,50.00000000,,,,
2012,28-Nov-12,1,0,25.00000000,,,,
2016,9-Jul-16,2,0,12.50000000,,,,
2020,11-May-20,3,0,6.25000000,,,,
2024,,4,0,3.12500000,,,,
2028,,5,0,1.56250000,,,,
2032,,6,0,0.78125000,,,,
2036,,7,0,0.39062500,,,,
2040,,8,0,0.19531250,,,,
2044,,9,0,0.09765625,,,,
2048,,10,0,0.04882813,,,,
2052,,11,0,0.02441406,,,,
2056,,12,0,0.01220703,,,,
2060,,13,0,0.00610352,,,,
2064,,14,0,0.00305176,,,,
2068,,15,0,0.00152588,,,,
2072,,16,0,0.00076294,,,,
2076,,17,0,0.00038147,,,,
2080,,18,0,0.00019073,,,,
2084,,19,0,0.00009537,,,,
2088,,20,0,0.00004768,,,,
2092,,21,0,0.00002384,,,,
2096,,22,0,0.00001192,,,,
2100,,23,0,0.00000596,,,,
2104,,24,0,0.00000298,,,,
2108,,25,0,0.00000149,,,,
2112,,26,0,0.00000075,,,,
2116,,27,0,0.00000037,,,,
2122,,28,0,0.00000019,,,,
2126,,29,0,0.00000009,,,,
2130,,30,0,0.00000005,,,,
2134,,31,0,0.00000002,,,,
2138,,32,0,0.00000001,,,,
2042,,33,0,0.00000000,,,,
